FunctionID_f,AvgServiceTimeMilliseconds,Invocations30Days
3246,178,5760
7015,47,5760
9121,57,5760
2172,4,5759
4021,1,5759
839,10080,5758
5307,359,5750
9876,2182,5750
4317,1,5748
442,40,5742
2451,4383,5742
3517,4192,5742
8313,152,5742
4469,12,5741
8048,119,5740
5924,196,5738
5624,135,5734
8463,141,5720
4710,12245,5709
1133,10655,5696
2395,168,5677
4591,12654,5662
3951,1097,5638
2290,1250,5597
4522,2,5584
8929,78,5534
3966,27,5501
7280,15698,5495
8555,117,5495
8630,175,5457
8319,17,5276
168,5,5237
6594,198,5199
9940,1111,5177
7730,277,5057
8948,391,5011
2411,10961,4947
610,1376,4867
9571,234,4858
9445,100,4798
6299,573,4785
8612,1042,4780
1146,34,4766
1006,361,4674
9033,102,4663
802,1794,4612
3028,4,4608
7424,1,4608
9270,56,4607
5645,2305,4605
1449,8868,4593
10548,129,4589
1231,2112,4575
2795,334,4427
7245,1880,4362
6315,30,4359
9925,6151,4358
558,2,4338
1633,1,4329
632,59,4326
1475,1,4321
3164,1,4321
2431,108,4320
3641,1,4320
5527,137,4320
5584,102,4320
5700,13,4320
7557,107,4320
178,674,4319
9913,1,4319
7806,950,4318
2430,146,4305
10158,6438,4300
9245,28,4298
3047,1020,4285
5,536,4281
3840,1630,4271
4807,109,4269
2103,2963,4268
8253,1,4235
4042,134,4216
238,126,4215
10522,10,4160
5556,608,4155
10679,109,4141
120,119,4100
4714,221,4082
7024,9,4038
3024,138,3943
10607,242,3903
7334,23,3894
1201,436,3837
9954,19824,3837
10433,68,3837
10653,11277,3824
7803,105,3773
65,25213,3712
9633,1316,3687
4884,113,3678
6509,137,3663
9600,114,3617
7354,523,3610
6457,1,3600
7601,60,3600
5846,10374,3575
2811,2,3558
9861,30,3529
5139,26881,3527
138,19,3515
9480,11,3504
3437,30,3464
2472,5206,3454
3753,1,3448
3767,1315,3445
6719,258,3435
5112,1,3398
1731,10,3388
10475,45,3382
5227,13,3365
9664,1699,3337
3622,117,3314
9822,2611,3312
916,1,3304
3394,141,3285
2350,15,3273
4936,263,3240
1305,13609,3207
6758,28,3191
4691,10449,3153
9771,1100,3150
3594,13499,3099
2809,156,3062
8591,10990,3040
4113,195,3018
2251,102,2999
7936,1402,2974
6115,17,2948
2418,1460,2945
10730,1,2941
6277,103,2933
798,3,2892
3139,26,2890
6525,1,2890
6479,713,2885
3953,1058,2883
5005,108,2882
5209,1031,2882
9592,19,2881
9975,1,2881
28,371,2880
312,986,2880
320,753,2880
510,86,2880
525,37,2880
750,19,2880
1214,735,2880
1348,44,2880
1985,763,2880
3005,1183,2880
3129,16,2880
3376,1054,2880
3458,1064,2880
5839,1311,2880
6035,184,2880
6059,15125,2880
6444,123,2880
7674,76,2880
8194,10,2880
8291,1,2880
8671,16,2880
10674,176,2880
5780,148,2879
6163,3,2879
9856,1,2879
10171,1,2879
864,157,2878
2654,1561,2878
3907,1038,2876
2159,389,2875
6430,26,2875
4056,121,2874
6565,1,2874
8257,133,2874
10572,22713,2874
135,1,2873
6225,108,2873
463,3493,2872
5063,17,2871
6609,10017,2870
10045,1265,2869
10361,158,2869
512,139,2868
2253,142,2868
3373,1093,2868
7556,1025,2868
9870,169,2867
378,36,2865
2721,221,2864
500,588,2863
9421,15328,2860
4210,159,2859
6038,129,2857
5170,3,2856
7718,250,2851
8161,478,2851
6681,10485,2849
4345,20,2843
4855,30403,2840
6159,10,2812
8768,1801,2805
2248,2610,2773
5726,1121,2771
5346,1,2766
3867,111,2765
6140,1,2756
6623,680,2755
6197,15,2739
5677,128,2738
4194,1480,2737
5865,12,2737
2117,395,2734
1090,400,2728
10741,109,2714
1971,113,2713
4238,30837,2704
5395,5373,2702
3508,1053,2690
4013,1,2660
7939,1388,2631
